timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-01-01,28923.63,29600.0,28624.57,29331.69,54182.925011,1609545599999,1582526989.1618726,1314910,27455.801725,802247744.5451041,0
2021-01-02,29331.7,33300.0,28946.53,32178.33,129993.873362,1609631999999,4073842163.6715407,2245922,67446.305246,2110334723.8871453,0
2021-01-03,32176.45,34778.11,31962.99,33000.05,120957.56675,1609718399999,4057598425.492016,2369698,59750.332871,2004428433.9318464,0
2021-01-04,33000.05,33600.0,28130.0,31988.71,140899.88569,1609804799999,4429010349.695345,2642408,69088.46923,2173435409.016988,0
2021-01-05,31989.75,34360.0,29900.0,33949.53,116049.997038,1609891199999,3743617144.6469154,2526851,59691.754755,1927195093.6415496,0
2021-01-06,33949.53,36939.21,33288.0,36769.36,127139.20131,1609977599999,4431954248.519614,2591783,63052.914652,2199632470.221549,0
2021-01-07,36769.36,40365.0,36300.0,39432.28,132825.700437,1610063999999,5062569943.383372,2814686,65055.107136,2482583239.856497,0
2021-01-08,39432.48,41950.0,36500.0,40582.81,139789.957499,1610150399999,5568443208.731365,2925632,67300.155216,2684975445.9789047,0
2021-01-09,40586.96,41380.0,38720.0,40088.22,75785.979675,1610236799999,3054779029.161777,1998156,37007.321909,1491990705.551699,0
2021-01-10,40088.22,41350.0,35111.11,38150.02,118209.544503,1610323199999,4604034729.507071,2628050,55451.344673,2160976896.828028,0
2021-01-11,38150.02,38264.74,30420.0,35404.47,251156.138287,1610409599999,8497730017.898505,4472957,123241.588782,4171891522.0567856,0
2021-01-12,35410.37,36628.0,32531.0,34051.24,133948.151996,1610495999999,4651302423.484116,2674145,65098.310196,2261732478.830052,0
2021-01-13,34049.15,37850.0,32380.0,37371.38,124477.914938,1610582399999,4322876606.419625,2514289,63981.038306,2222872691.371912,0
2021-01-14,37371.38,40100.0,36701.23,39144.5,102950.389421,1610668799999,3974826638.1450887,2297466,51264.467092,1979442593.05,0
