timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-01 00:00:00,42283.58000000,42488.09000000,42261.02000000,42488.00000000,431.71082000,1704068099999,18304686.50252870,16651,248.76854000,10546051.82722450,0
2024-01-01 00:15:00,42488.00000000,42554.57000000,42412.02000000,42419.73000000,392.24889000,1704068999999,16661864.05540090,13332,175.52066000,7456565.79194140,0
2024-01-01 00:30:00,42419.73000000,42447.82000000,42354.19000000,42441.32000000,319.90644000,1704069899999,13564090.79366640,10959,192.00027000,8140643.81541530,0
2024-01-01 00:45:00,42441.32000000,42490.74000000,42422.45000000,42475.23000000,127.81493000,1704070799999,5426607.62219300,6192,66.28634000,2814155.38506380,0
2024-01-01 01:00:00,42475.23000000,42475.23000000,42431.65000000,42466.33000000,188.76099000,1704071699999,8013008.23462160,7256,115.17425000,4889171.13798000,0
2024-01-01 01:15:00,42466.32000000,42513.17000000,42466.32000000,42493.16000000,152.48691000,1704072599999,6479987.32158160,6580,79.93483000,3396535.13299600,0
2024-01-01 01:30:00,42493.16000000,42775.00000000,42493.16000000,42697.50000000,642.57307000,1704073499999,27421003.43422830,27425,416.33769000,17764503.52476260,0
2024-01-01 01:45:00,42697.50000000,42720.00000000,42613.56000000,42613.56000000,212.55759000,1704074399999,9070894.35771010,9135,100.87550000,4305435.55253780,0
2024-01-01 02:00:00,42613.57000000,42638.41000000,42541.10000000,42556.63000000,217.29821000,1704075299999,9251891.07859890,9641,81.26749000,3459797.97377150,0
2024-01-01 02:15:00,42556.64000000,42571.68000000,42531.10000000,42546.01000000,139.29978000,1704076199999,5926841.68641650,5666,51.88420000,2207398.97632190,0
2024-01-01 02:30:00,42546.00000000,42606.25000000,42533.00000000,42535.75000000,193.14053000,1704077099999,8222640.10573910,7199,92.24456000,3927365.53860120,0
2024-01-01 02:45:00,42535.74000000,42590.00000000,42500.00000000,42581.10000000,135.48128000,1704077999999,5766005.10248300,7357,63.59239000,2706454.81106740,0
2024-01-01 03:00:00,42581.09000000,42586.64000000,42501.67000000,42508.24000000,169.14866000,1704078899999,7197704.46040770,7426,80.82129000,3439265.77822840,0
